Real,Imag
-0.999999999994E-5,+0.624083623744E-3
+0.100000000000E-4,-0.622862115825E-3
-0.999999999995E-5,+0.621645379013E-3
+0.999999999988E-5,-0.620433385406E-3
-0.999999999996E-5,+0.619226107320E-3
+0.999999999991E-5,-0.618023517286E-3
-0.999999999991E-5,+0.616825588047E-3
+0.999999999990E-5,-0.615632292559E-3
-0.100000000000E-4,+0.614443603985E-3
+0.999999999992E-5,-0.613259495695E-3
-0.999999999999E-5,+0.612079941266E-3
+0.999999999993E-5,-0.610904914474E-3
-0.100000000000E-4,+0.609734389300E-3
+0.999999999995E-5,-0.608568339920E-3
-0.999999999992E-5,+0.607406740712E-3
+0.999999999997E-5,-0.606249566243E-3
-0.999999999992E-5,+0.605096791280E-3
+0.100000000000E-4,-0.603948390777E-3
-0.999999999991E-5,+0.602804339879E-3
+0.100000000000E-4,-0.601664613919E-3
-0.999999999998E-5,+0.600529188417E-3
+0.100000000000E-4,-0.599398039076E-3
-0.999999999994E-5,+0.598271141782E-3
+0.100000000000E-4,-0.597148472603E-3
-0.999999999995E-5,+0.596030007785E-3
+0.999999999990E-5,-0.594915723752E-3
-0.999999999998E-5,+0.593805597105E-3
+0.999999999991E-5,-0.592699604618E-3
-0.999999999998E-5,+0.591597723237E-3
+0.999999999998E-5,-0.590499930082E-3
-0.100000000000E-4,+0.589406202439E-3
+0.999999999992E-5,-0.588316517765E-3
-0.100000000001E-4,+0.587230853681E-3
+0.999999999998E-5,-0.586149187974E-3
-0.999999999990E-5,+0.585071498594E-3
+0.999999999997E-5,-0.583997763652E-3
-0.999999999990E-5,+0.582927961423E-3
+0.999999999997E-5,-0.581862070336E-3
-0.999999999995E-5,+0.580800068980E-3
+0.999999999997E-5,-0.579741936100E-3
-0.999999999991E-5,+0.578687650595E-3
+0.999999999987E-5,-0.577637191518E-3
-0.999999999993E-5,+0.576590538072E-3
+0.999999999999E-5,-0.575547669613E-3
-0.999999999995E-5,+0.574508565643E-3
+0.999999999988E-5,-0.573473205815E-3
-0.999999999982E-5,+0.572441569927E-3
+0.999999999962E-5,-0.571413637920E-3
-0.999999999990E-5,+0.570389389881E-3
+0.999999999995E-5,-0.569368806041E-3
-0.999999999996E-5,+0.568351866770E-3
+0.999999999995E-5,-0.567338552576E-3
-0.999999999999E-5,+0.566328844110E-3
+0.999999999996E-5,-0.565322722159E-3
-0.999999999999E-5,+0.564320167644E-3
+0.999999999997E-5,-0.563321161624E-3
-0.999999999986E-5,+0.562325685291E-3
+0.999999999999E-5,-0.561333719969E-3
-0.999999999981E-5,+0.560345247113E-3
+0.999999999999E-5,-0.559360248311E-3
-0.999999999992E-5,+0.558378705277E-3
+0.999999999999E-5,-0.557400599856E-3
-0.999999999994E-5,+0.556425914017E-3
+0.100000000000E-4,-0.555454629858E-3
-0.999999999997E-5,+0.554486729599E-3
+0.100000000000E-4,-0.553522195585E-3
-0.999999999993E-5,+0.552561010284E-3
+0.999999999981E-5,-0.551603156285E-3
-0.999999999997E-5,+0.550648616298E-3
+0.999999999995E-5,-0.549697373150E-3
-0.999999999993E-5,+0.548749409790E-3
+0.999999999990E-5,-0.547804709283E-3
-0.100000000000E-4,+0.546863254809E-3
+0.999999999997E-5,-0.545925029665E-3
-0.100000000000E-4,+0.544990017263E-3
+0.999999999995E-5,-0.544058201126E-3
-0.100000000000E-4,+0.543129564891E-3
+0.999999999995E-5,-0.542204092307E-3
-0.999999999990E-5,+0.541281767233E-3
+0.999999999997E-5,-0.540362573637E-3
-0.999999999991E-5,+0.539446495597E-3
+0.100000000000E-4,-0.538533517297E-3
-0.999999999992E-5,+0.537623623029E-3
+0.100000000000E-4,-0.536716797191E-3
-0.999999999993E-5,+0.535813024287E-3
+0.100000000000E-4,-0.534912288923E-3
-0.999999999994E-5,+0.534014575808E-3
+0.100000000000E-4,-0.533119869758E-3
-0.999999999997E-5,+0.532228155684E-3
+0.999999999989E-5,-0.531339418604E-3
-0.999999999998E-5,+0.530453643632E-3
+0.999999999991E-5,-0.529570815981E-3
-0.100000000000E-4,+0.528690920965E-3
+0.999999999997E-5,-0.527813943992E-3
-0.100000000000E-4,+0.526939870570E-3
+0.999999999995E-5,-0.526068686301E-3
-0.100000000000E-4,+0.525200376882E-3
+0.999999999994E-5,-0.524334928104E-3
-0.100000000000E-4,+0.523472325853E-3
+0.999999999998E-5,-0.522612556106E-3
-0.999999999995E-5,+0.521755604932E-3
+0.999999999997E-5,-0.520901458494E-3
-0.999999999990E-5,+0.520050103041E-3
+0.999999999989E-5,-0.519201524915E-3
-0.999999999996E-5,+0.518355710547E-3
